Wavelength,SSI
350.293,1216.0621303234218
350.294,1216.050111619731
350.295,1215.213328107655
350.296,1213.4875301750278
350.297,1210.8168103689372
350.298,1207.1543826632953
350.299,1202.463211867261
350.3,1196.716663014883
350.30100000000004,1189.8988610270549
350.302,1182.0051003265212
350.303,1173.041994697026
350.304,1163.0275771894096
350.305,1151.9911802342926
350.30600000000004,1139.9732558110964
350.307,1127.024965833038
350.308,1113.2076626354171
350.30899999999997,1098.5922395859718
350.31,1083.2583018642604
350.31100000000004,1067.29327729738
350.312,1050.7912874210501
350.313,1033.8520485125255
350.31399999999996,1016.579612773751
350.315,999.0810695520759
350.31600000000003,981.46519660792
350.317,963.8410914012194
350.318,946.316832349702
350.319,928.998180049603
350.32,911.9873084682083
350.321,895.3816160612797
350.322,879.272716721456
350.323,863.745480679704
350.324,848.8772452471376
350.32500000000005,834.7371754159856
350.326,821.3858242727566
350.327,808.8747833268927
350.328,797.2465826046717
350.329,786.5347106304253
350.33000000000004,776.7638042481278
350.331,767.9499883021331
350.332,760.101355186447
350.33299999999997,753.2185243188823
350.334,747.2953914367998
350.33500000000004,742.3198179491901
350.336,738.2745600633932
350.337,735.1380480526686
350.33799999999997,732.8853253735256
350.339,731.4889278393924
350.34000000000003,730.9197328224564
350.341,731.1477585024548
350.342,732.1429830966854
350.34299999999996,733.8759343059897
350.344,736.3183786668349
350.345,739.4437411569286
350.346,743.2275547726643
350.347,747.6477003037584
350.348,752.6846161360575
350.349,758.3213282233679
350.35,764.5434301062369
350.351,771.3389030809736
350.352,778.697906396842
350.353,786.6124675471546
350.35400000000004,795.0760626636564
350.355,804.0831969109119
350.356,813.6289149464179
350.35699999999997,823.7082913995015
350.358,834.3159213502156
350.35900000000004,845.4454207988441
350.36,857.088927135408
350.361,869.2366495622206
350.36199999999997,881.8764694694923
350.363,894.9936107452047
350.36400000000003,908.5703300662029
350.365,922.585737067219
350.366,937.0156544723333
350.36699999999996,951.832578132534
350.368,967.0057069975484
350.369,982.5010829843795
350.37,998.281720855236
350.371,1014.3079179264378
350.372,1030.5375637773227
350.373,1046.9265099028123
350.374,1063.428999309636
350.375,1079.9981160937787
350.376,1096.5863149427996
350.377,1113.1458607226728
350.37800000000004,1129.6293979425466
350.379,1145.9904203134095
350.38,1162.183770278585
350.381,1178.1660786005652
350.382,1193.8962439102866
350.38300000000004,1209.335742416035
350.384,1224.4490275278426
350.385,1239.2037096884642
350.38599999999997,1253.5708760728953
350.387,1267.5251005789805
350.38800000000003,1281.0446236583912
350.389,1294.1112624011387
350.39,1306.7103905543518
350.39099999999996,1318.8307686819114
350.392,1330.46433436164
350.39300000000003,1341.6059724012778
350.394,1352.2531951389635
350.395,1362.405772790669
350.396,1372.0654037600757
350.397,1381.2353050235654
350.398,1389.9198025152184
350.399,1398.123951483636
350.4,1405.8531968112052
350.401,1413.112983380313
350.40200000000004,1419.9084563550496
350.403,1426.2442413877916
350.404,1432.1241948539544
350.405,1437.5512639834535
350.406,1442.5273969452167
350.40700000000004,1447.0535628284024
350.408,1451.1297016893518
350.409,1454.754904382565
350.40999999999997,1457.9275124668013
350.411,1460.6453679703259
350.41200000000003,1462.9060331843268
350.413,1464.7071103624319
350.414,1466.0465114671754
350.41499999999996,1466.9228777756132
350.416,1467.335839635179
350.41700000000003,1467.286446059911
350.418,1466.7774644487477
350.419,1465.813730256872
350.42,1464.4024267327918
350.421,1462.5533446741927
350.422,1460.2791321931884
350.423,1457.595474547298
350.424,1454.521154083103
350.425,1451.0781901047885
350.42600000000004,1447.2917989117027
350.427,1443.1903538359163
350.428,1438.8052453736866
350.429,1434.1707513075255
350.43,1429.3237469785167
350.43100000000004,1424.3034355398452
350.432,1419.1510282572842
350.433,1413.9093448847973
350.43399999999997,1408.6223540964854
350.435,1403.33477386219
350.43600000000004,1398.0915719170011
350.437,1392.9374562401497
350.438,1387.9163755245172
350.43899999999996,1383.071029636749
350.44,1378.4423700867605
350.44100000000003,1374.0691304690731
350.442,1369.987356904149
350.443,1366.2300583670462
350.444,1362.8267671005822
350.445,1359.8032688688684
350.446,1357.1813631826724
350.447,1354.9786135341703
350.448,1353.2082574814594
350.449,1351.8791566955067
350.45000000000005,1350.9957669883204
350.451,1350.558248209659
350.452,1350.5626041155683
350.453,1351.0009021618007
350.454,1351.861503287841
350.45500000000004,1353.1294315694724
350.456,1354.786683927684
350.457,1356.8126896967233
350.45799999999997,1359.184650304835
350.459,1361.8780787671922
350.46000000000004,1364.8671493572451
350.461,1368.1251971372117
350.462,1371.6251175824762
350.46299999999997,1375.3397961778128
350.464,1379.2424680793415
350.46500000000003,1383.3070577952647
350.466,1387.5084988853826
350.467,1391.8229637451207
350.46799999999996,1396.2281333519984
350.469,1400.7032771905053
350.47,1405.2294330830812
350.471,1409.7894471525549
350.472,1414.368003793974
350.473,1418.9515757215547
350.474,1423.5284039874637
350.475,1428.0883381320584
350.476,1432.6227762402284
350.477,1437.1244251667583
350.478,1441.5871806490088
350.47900000000004,1446.0058875322795
